AVERAGE	BEST
0.248412	0.642848
0.224019	0.642848
0.235111	0.642848
0.255604	0.642848
0.261542	0.642848
0.251734	0.642848
0.262547	0.642848
0.246188	0.642848
0.294889	0.642848
0.236980	0.642848
0.248593	0.642848
0.254468	0.642848
0.256090	0.642848
0.286145	0.642848
0.228859	0.642848
0.292427	0.642848
0.270480	0.642848
0.289188	0.642848
0.255512	0.642848
0.294585	0.642848
0.263897	0.642848
0.276129	0.643815
0.278589	0.643815
0.228927	0.643815
0.252221	0.643815
0.258707	0.643815
0.258160	0.643815
0.213818	0.643815
0.265900	0.643815
0.254230	0.643815
0.233073	0.644250
0.270106	0.644250
0.234854	0.644250
0.225210	0.644250
0.244845	0.644250
0.231733	0.644250
0.277780	0.644250
0.247994	0.644250
0.253616	0.644250
0.293763	0.644250
0.282960	0.644250
0.275623	0.644250
0.202935	0.644250
0.294517	0.644250
0.284303	0.644250
0.198879	0.644250
0.253820	0.644250
0.237638	0.644250
0.232197	0.644250
0.260269	0.644250
0.272522	0.644250
0.292469	0.644250
0.326080	0.644250
0.260093	0.644250
0.287804	0.644250
0.232475	0.645279
0.225519	0.645279
0.264829	0.645279
0.247090	0.645279
0.245856	0.645279
0.272502	0.645279
0.253714	0.645522
0.218315	0.645522
0.253592	0.645522
0.262432	0.645522
0.283711	0.645522
0.258862	0.646745
0.251025	0.646745
0.272073	0.646745
0.238818	0.646745
0.246180	0.646745
0.297794	0.646745
0.271915	0.646745
0.252914	0.646745
0.253791	0.646745
0.280295	0.646745
0.259707	0.646745
0.234460	0.646745
0.284642	0.646745
0.239974	0.646745
0.253437	0.646745
0.293216	0.646745
0.288554	0.646745
0.239989	0.646745
0.238662	0.646745
0.189358	0.646745
0.292536	0.646745
0.278795	0.646745
0.217069	0.646745
0.261037	0.646745
0.284860	0.646745
0.295292	0.647666
0.256579	0.647666
0.281509	0.647666
0.316950	0.647666
0.275933	0.647666
0.239009	0.647666
0.278579	0.647842
0.193997	0.647666
0.252823	0.650193
0.280138	0.650193
0.259294	0.650193
0.325941	0.650193
0.271894	0.650193
0.262404	0.650193
0.228051	0.650193
0.292256	0.650193
0.291386	0.650193
0.297104	0.650193
0.302896	0.650193
0.251163	0.650193
0.262627	0.650193
0.196624	0.653583
0.273483	0.653583
0.181826	0.654697
0.246083	0.654697
0.216676	0.654697
0.225679	0.654697
0.261185	0.654697
0.243829	0.654697
0.269345	0.654697
0.252921	0.654697
0.308532	0.654697
0.287231	0.657004
0.291878	0.657004
0.286434	0.657004
0.254453	0.657004
0.229574	0.657004
0.299448	0.657004
0.267317	0.657004
0.276556	0.657004
0.250380	0.657004
0.275264	0.657004
0.287876	0.657004
0.226816	0.657004
0.206644	0.657004
0.270885	0.657004
0.234706	0.657300
0.291642	0.657300
0.284586	0.657300
0.229759	0.657300
